"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage"
82,"Cluster 1",8,1,15,24.96,12,81
83,"Cluster 1",18,2,15,12.89,10,93
84,"Cluster 3",53,1,1,83.67,35,41
85,"Cluster 2",24,1,8,43.73,19,68
86,"Cluster 1",14,4,15,19.43,9,87
87,"Cluster 3",51,2,3,66.95,31,46
88,"Cluster 3",48,2,2,70.88,29,50
89,"Cluster 3",53,2,1,72.84,31,39
90,"Cluster 2",25,2,12,41.02,21,61
91,"Cluster 2",25,2,8,38.97,19,71
92,"Cluster 1",5,2,16,21.32,12,88
93,"Cluster 2",27,2,8,58.8,24,53
94,"Cluster 1",10,2,12,8.91,8,90
95,"Cluster 2",25,2,5,32.33,16,79
96,"Cluster 2",22,2,8,40.2,20,69
97,"Cluster 3",57,2,2,68.25,28,53
98,"Cluster 2",23,2,10,44.51,19,73
99,"Cluster 1",12,2,16,13.55,8,91
100,"Cluster 1",10,2,12,26.42,14,78
101,"Cluster 1",7,2,15,13.76,6,76
102,"Cluster 2",28,1,13,46.5,20,61
103,"Cluster 1",18,1,13,36.99,18,69
104,"Cluster 3",51,1,1,76.37,35,48
105,"Cluster 1",10,3,18,19.02,9,77
106,"Cluster 3",51,1,6,84.92,38,36
107,"Cluster 3",46,2,1,76.8,32,43
108,"Cluster 1",7,2,16,21.6,11,92
109,"Cluster 1",7,2,15,23.64,14,83
110,"Cluster 2",22,4,7,37.12,17,71
111,"Cluster 3",51,2,4,73.86,31,47
112,"Cluster 2",27,1,8,40.16,16,71
113,"Cluster 2",29,3,10,41.32,19,66
114,"Cluster 3",47,2,4,68.47,31,54
115,"Cluster 1",12,2,13,17.77,9,87
116,"Cluster 2",24,2,7,48.09,23,58
117,"Cluster 1",16,2,15,22,14,86
118,"Cluster 3",47,2,5,69.65,32,36
119,"Cluster 1",15,3,16,5.74,6,92
120,"Cluster 1",11,1,17,22.63,12,81
121,"Cluster 1",13,2,13,24.8,13,81
122,"Cluster 2",24,2,8,39.09,19,70
123,"Cluster 2",23,2,13,50.74,22,65
124,"Cluster 2",27,3,7,44.58,19,54
125,"Cluster 2",23,2,11,36.38,18,68
126,"Cluster 3",60,1,2,74.7,32,32
127,"Cluster 2",26,2,9,44.42,22,59
128,"Cluster 2",23,3,11,40.39,18,67
129,"Cluster 2",24,2,8,43.03,18,67
130,"Cluster 1",8,2,17,14.92,10,90
131,"Cluster 1",10,2,16,14.25,9,96
132,"Cluster 3",50,2,4,73.01,33,37
133,"Cluster 1",12,2,15,18,8,82
134,"Cluster 1",4,2,17,22.09,14,90
135,"Cluster 1",11,2,13,28.05,13,77
136,"Cluster 1",12,2,15,16.54,8,83
137,"Cluster 3",50,2,3,70.76,32,46
138,"Cluster 3",54,3,2,70.06,30,33
139,"Cluster 3",49,2,7,87.39,39,26
140,"Cluster 1",10,2,18,16.08,9,89
141,"Cluster 2",27,2,10,40.45,19,71
142,"Cluster 1",13,2,17,14.07,8,90
143,"Cluster 2",26,2,9,42.44,21,65
144,"Cluster 2",27,2,5,31.96,16,66
145,"Cluster 3",51,2,1,69.04,28,43
146,"Cluster 2",28,1,10,38.38,17,71
147,"Cluster 2",22,2,8,56.72,23,54
148,"Cluster 2",19,1,7,43.14,18,71
149,"Cluster 2",23,2,11,49.84,23,57
150,"Cluster 1",12,3,16,21.1,10,85
151,"Cluster 3",53,1,4,78.74,35,43
152,"Cluster 1",7,2,16,13.37,9,90
153,"Cluster 2",27,2,7,49.52,20,61
154,"Cluster 2",28,2,11,47.56,23,68
155,"Cluster 2",28,2,9,48.67,24,61
156,"Cluster 2",26,2,10,45.29,19,63
157,"Cluster 1",9,2,15,19.17,9,78
158,"Cluster 2",25,2,6,43.41,18,64
159,"Cluster 1",12,3,15,30.64,16,76
160,"Cluster 2",25,2,6,46.95,23,67
161,"Cluster 1",8,1,13,18.07,8,88
162,"Cluster 2",27,2,8,37.68,18,70
163,"Cluster 1",14,2,16,16.98,8,84
164,"Cluster 2",26,3,5,40.93,19,69
165,"Cluster 2",23,4,12,33.04,15,75
166,"Cluster 1",13,2,14,27.35,14,69
167,"Cluster 1",8,2,14,23.73,12,80
168,"Cluster 2",19,2,5,50.03,24,58
169,"Cluster 1",9,2,14,28.76,16,69
170,"Cluster 2",23,2,9,38,19,71
171,"Cluster 1",10,3,13,11.4,9,95
172,"Cluster 2",31,2,5,44.98,19,66
173,"Cluster 3",56,1,5,75.66,31,34
174,"Cluster 1",9,1,17,27.83,15,80
175,"Cluster 1",9,2,18,12.08,5,86
176,"Cluster 1",12,2,14,12.43,10,93
177,"Cluster 2",26,1,9,47.53,20,65
178,"Cluster 1",4,1,15,19.11,8,79
179,"Cluster 3",49,3,5,68.56,27,49
180,"Cluster 1",6,2,17,22.71,12,79
181,"Cluster 3",47,2,4,71.01,33,44
182,"Cluster 2",29,2,11,48.47,24,60
183,"Cluster 1",10,1,13,23.47,10,83
184,"Cluster 2",26,3,8,48.05,22,65
185,"Cluster 1",10,1,16,26.24,12,76
186,"Cluster 1",15,2,17,19.98,13,83
187,"Cluster 2",27,1,9,35.49,19,58
188,"Cluster 1",11,2,16,6.99,4,91
189,"Cluster 3",50,1,2,83.24,34,35
190,"Cluster 3",46,1,1,64.55,29,48
191,"Cluster 2",31,3,10,48.44,21,59
192,"Cluster 2",27,1,11,50.21,24,62
193,"Cluster 3",47,1,4,79.38,36,39
194,"Cluster 1",9,2,16,19.54,10,80
195,"Cluster 3",49,2,1,67.09,30,37
196,"Cluster 1",5,2,14,26.62,15,78
197,"Cluster 1",14,3,16,23.97,10,77
198,"Cluster 1",12,4,15,16.48,7,92
199,"Cluster 2",27,4,6,38.35,17,64
200,"Cluster 1",11,3,17,25.36,10,79
201,"Cluster 2",23,1,6,43.16,20,71
202,"Cluster 3",56,3,1,77.2,33,43
203,"Cluster 1",9,3,17,10.65,9,90
204,"Cluster 1",12,2,16,18.34,8,84
205,"Cluster 1",10,2,14,18.3,10,85
206,"Cluster 3",51,2,1,84.19,37,36
207,"Cluster 2",30,2,8,47.56,24,64
208,"Cluster 2",28,2,8,43.9,21,69
209,"Cluster 2",28,3,8,46.67,21,63
210,"Cluster 2",30,2,9,44.63,18,64
211,"Cluster 1",10,3,13,15.45,7,92
212,"Cluster 2",21,2,6,47.55,24,65
213,"Cluster 2",23,1,8,50.96,23,57
214,"Cluster 1",7,2,15,25.49,11,80
215,"Cluster 2",29,2,7,40.81,21,59
216,"Cluster 1",12,2,15,21.15,9,81
217,"Cluster 2",23,1,5,50.11,23,56
218,"Cluster 1",11,4,14,15.56,7,91
219,"Cluster 3",44,2,2,75.76,32,40
220,"Cluster 3",50,2,7,73.03,32,46
221,"Cluster 2",24,2,7,48.94,23,52
222,"Cluster 3",49,4,5,89.87,38,33
223,"Cluster 1",13,2,16,25.42,14,77
224,"Cluster 1",5,3,17,19.97,11,84
225,"Cluster 2",23,3,9,64.74,29,47
226,"Cluster 2",25,2,11,47.69,24,66
227,"Cluster 1",4,3,12,16.96,8,86
228,"Cluster 1",9,2,17,28.21,12,80
229,"Cluster 1",6,3,18,17.15,7,92
230,"Cluster 3",48,3,1,63.71,26,48
231,"Cluster 1",4,1,18,18.92,11,81
232,"Cluster 1",5,3,15,15.04,6,78
233,"Cluster 1",13,2,16,20.03,12,81
234,"Cluster 2",24,1,10,51.26,24,67
235,"Cluster 2",23,2,8,51.08,24,64
236,"Cluster 2",29,2,7,50.27,23,67
237,"Cluster 2",26,3,7,49.98,22,56
238,"Cluster 3",52,2,1,70.1,32,45
239,"Cluster 2",28,4,5,34.49,15,70
240,"Cluster 3",52,2,2,71.84,32,43
241,"Cluster 1",9,4,9,17.18,9,95
242,"Cluster 1",7,3,18,18.99,9,91
243,"Cluster 2",22,1,6,60.46,27,52
244,"Cluster 1",9,3,13,17.72,12,86
245,"Cluster 2",26,2,7,46.26,20,64
246,"Cluster 1",4,2,13,11.49,7,91
247,"Cluster 2",30,3,9,35.91,17,66
248,"Cluster 3",50,2,2,79.94,34,38
249,"Cluster 3",50,4,3,71.67,33,47
250,"Cluster 1",7,3,14,12.53,8,91
251,"Cluster 2",23,2,8,50.29,20,62
252,"Cluster 2",30,2,8,47.61,21,65
253,"Cluster 1",7,2,15,10.08,8,100
254,"Cluster 2",21,3,10,46.03,19,63
255,"Cluster 1",8,1,19,19.61,12,74
256,"Cluster 3",54,2,3,78.24,31,37
257,"Cluster 2",26,2,9,41.98,22,67
258,"Cluster 1",13,2,17,23.06,10,82
259,"Cluster 1",12,2,18,13.59,9,90
260,"Cluster 3",50,1,3,75.73,35,34
261,"Cluster 3",46,3,3,71.07,31,51
262,"Cluster 3",51,2,3,77.29,34,31
263,"Cluster 1",11,2,16,16.79,8,83
264,"Cluster 3",49,2,5,72.8,32,44
265,"Cluster 1",6,2,15,28.98,13,78
266,"Cluster 1",13,2,18,11.7,8,96
267,"Cluster 2",25,2,4,43.01,19,65
268,"Cluster 2",27,3,11,33.71,17,67
269,"Cluster 2",26,3,8,38.8,20,73
270,"Cluster 1",7,1,13,17.68,11,78
271,"Cluster 3",42,2,8,83.82,35,37
272,"Cluster 2",25,2,9,53.85,26,48
273,"Cluster 2",28,2,5,42.89,18,65
274,"Cluster 2",28,3,7,38,16,76
275,"Cluster 3",53,2,3,84.97,34,35
276,"Cluster 1",13,1,11,34.48,14,76
277,"Cluster 3",50,2,4,65.65,31,50
278,"Cluster 1",13,3,12,27.7,11,74
279,"Cluster 2",21,2,10,52.89,22,61
280,"Cluster 1",7,2,15,19.09,12,88
281,"Cluster 3",55,3,3,72.27,31,41
282,"Cluster 2",17,2,6,48.08,20,69
283,"Cluster 2",32,2,10,38.76,18,70
284,"Cluster 2",29,2,6,46.28,19,66
285,"Cluster 2",18,2,5,51.57,23,58
286,"Cluster 2",29,1,8,46.13,19,59
287,"Cluster 2",24,2,9,52.07,25,62
288,"Cluster 2",21,2,10,41.41,20,58
289,"Cluster 2",29,2,10,40.11,18,70
290,"Cluster 1",12,2,14,16.09,7,100
291,"Cluster 2",25,2,7,47.84,23,69
292,"Cluster 2",24,2,9,45.12,18,74
293,"Cluster 2",21,3,7,57.07,26,44
294,"Cluster 3",53,2,1,80.26,32,37
295,"Cluster 3",53,3,3,70.4,33,38
296,"Cluster 3",53,2,1,77.69,32,42
297,"Cluster 3",51,2,2,83.55,34,38
298,"Cluster 2",23,2,11,45.72,23,71
299,"Cluster 2",22,2,8,50.55,22,53
300,"Cluster 3",50,1,4,76.53,34,36
301,"Cluster 3",48,3,2,76.42,31,40
302,"Cluster 2",23,4,7,34.16,17,70
303,"Cluster 3",47,1,4,78.92,35,35
304,"Cluster 1",13,2,15,12.96,9,93
305,"Cluster 1",10,2,19,26.66,12,76
306,"Cluster 1",8,4,15,18.42,8,80
307,"Cluster 2",22,1,9,42.55,18,61
308,"Cluster 2",25,3,10,44.74,22,63
309,"Cluster 1",10,2,12,23.92,13,84
310,"Cluster 1",8,2,15,19.64,13,79
311,"Cluster 2",24,3,10,42.92,21,66
312,"Cluster 1",11,2,16,19.58,10,86
313,"Cluster 1",13,1,18,14.08,10,90
314,"Cluster 2",23,2,9,44.02,19,62
315,"Cluster 2",27,2,6,43.23,18,67
316,"Cluster 3",45,2,1,80.23,35,32
317,"Cluster 3",46,2,4,68.53,30,44
318,"Cluster 2",18,2,8,37.05,16,66
319,"Cluster 2",28,2,6,46.05,19,62
320,"Cluster 3",48,1,3,69.22,32,46
321,"Cluster 3",49,2,5,77.33,35,40
322,"Cluster 2",22,2,7,43.5,19,67
323,"Cluster 2",25,1,6,40.4,18,74
324,"Cluster 1",8,2,16,17.69,7,86
325,"Cluster 2",25,3,10,40.34,16,73
326,"Cluster 2",29,1,7,41.96,20,70
327,"Cluster 3",49,3,2,72.46,31,29
328,"Cluster 2",24,1,6,45.23,20,54
329,"Cluster 2",28,2,4,35.02,17,73
330,"Cluster 3",48,2,4,71.64,31,42
331,"Cluster 1",11,4,16,29.8,13,78
332,"Cluster 2",25,2,6,31.46,16,78
333,"Cluster 1",9,2,13,23.26,12,82
334,"Cluster 3",49,1,2,75.68,32,39
335,"Cluster 2",25,2,7,33.31,17,65
336,"Cluster 1",9,3,16,19.04,9,87
337,"Cluster 1",13,3,14,16.84,10,87
338,"Cluster 1",5,2,17,14.92,6,90
339,"Cluster 1",10,1,14,17.02,9,87
340,"Cluster 3",54,2,1,73.8,34,44
341,"Cluster 1",17,3,14,17.22,10,93
342,"Cluster 2",23,2,7,48.99,20,64
343,"Cluster 1",10,4,14,22.34,9,85
344,"Cluster 2",24,2,6,49.22,20,68
345,"Cluster 1",9,2,15,25.46,12,75
346,"Cluster 2",26,1,7,53.68,24,52
347,"Cluster 3",47,3,6,70.34,31,47
348,"Cluster 2",28,2,10,42.45,18,61
349,"Cluster 2",23,2,8,45.3,21,59
350,"Cluster 1",4,1,14,22.55,12,74
351,"Cluster 2",21,2,5,44.33,19,68
352,"Cluster 3",53,2,2,68.82,28,47
353,"Cluster 1",10,2,13,14.78,10,90
354,"Cluster 2",27,2,6,47.26,20,65
355,"Cluster 1",9,2,17,19.76,11,90
356,"Cluster 3",49,1,3,70.72,31,42
357,"Cluster 1",7,2,10,18.31,12,88
358,"Cluster 1",9,1,16,24.13,13,84
359,"Cluster 2",20,2,11,45.02,21,66
360,"Cluster 3",50,2,2,78.34,32,38
361,"Cluster 2",26,1,8,43.89,21,61
362,"Cluster 2",28,2,11,58.2,25,44
363,"Cluster 3",50,2,5,80.28,37,30
364,"Cluster 2",25,1,10,48.76,22,56
365,"Cluster 2",21,1,9,32.92,17,75
366,"Cluster 3",47,4,2,84.41,34,35
367,"Cluster 2",29,2,8,46.98,23,60
368,"Cluster 2",25,2,8,46.69,22,64
369,"Cluster 1",8,3,12,16.78,11,87
370,"Cluster 1",10,2,15,15.55,9,82
371,"Cluster 1",4,2,15,25.89,14,85
372,"Cluster 2",27,2,8,49.45,21,60
373,"Cluster 3",51,2,6,79.8,33,31
374,"Cluster 1",10,3,14,38.13,20,68
375,"Cluster 1",9,3,15,15.74,7,89
376,"Cluster 3",51,1,7,80.03,35,29
377,"Cluster 3",47,3,1,65.46,31,45
378,"Cluster 2",26,2,7,52.09,23,60
379,"Cluster 2",26,1,9,40.35,20,66
380,"Cluster 3",46,3,6,78.8,34,41
381,"Cluster 1",9,2,14,16.81,7,90
382,"Cluster 3",51,2,1,63.86,30,50
383,"Cluster 2",18,3,8,40.1,16,58
384,"Cluster 3",46,1,3,68.52,31,44
385,"Cluster 1",5,2,14,16.22,10,95
386,"Cluster 3",48,2,2,75.46,33,43
387,"Cluster 2",22,2,8,61.41,26,51
388,"Cluster 2",31,2,7,48.98,21,56
389,"Cluster 2",23,2,8,52.29,21,62
390,"Cluster 2",29,1,7,40.83,17,67
391,"Cluster 3",51,2,3,85.29,39,34
392,"Cluster 2",25,1,8,48.77,23,53
393,"Cluster 1",10,2,13,16.9,7,88
394,"Cluster 3",50,1,5,79.16,33,35
395,"Cluster 2",21,2,10,43.32,20,57
396,"Cluster 2",26,2,7,46.69,20,69
397,"Cluster 2",29,2,8,42.26,19,63
398,"Cluster 2",31,2,8,53.99,25,50
399,"Cluster 2",31,3,7,45.69,21,58
400,"Cluster 3",52,3,3,83.65,35,36
401,"Cluster 3",48,2,2,78.45,34,41
402,"Cluster 2",24,2,10,44.85,20,72
403,"Cluster 3",56,2,4,78.69,36,40
404,"Cluster 1",8,1,14,21.73,9,86
405,"Cluster 2",29,3,7,56.89,25,47
406,"Cluster 1",9,1,14,25.67,15,75
407,"Cluster 1",9,2,14,19.76,10,85
408,"Cluster 2",26,3,7,45.82,22,69
409,"Cluster 2",18,2,4,51.75,23,53
410,"Cluster 1",8,1,16,27.9,15,67
411,"Cluster 2",26,2,10,48.77,23,66
412,"Cluster 3",46,1,1,85.43,38,33
413,"Cluster 2",22,1,8,51.87,25,60
414,"Cluster 1",13,2,17,20.13,13,87
415,"Cluster 2",26,2,7,50.06,20,57
416,"Cluster 2",28,1,11,41.18,17,67
417,"Cluster 3",54,1,4,74.49,33,43
418,"Cluster 2",23,2,5,37.49,16,73
419,"Cluster 1",9,1,19,12.78,5,100
420,"Cluster 2",29,2,7,41.33,21,71
421,"Cluster 1",15,3,13,14.48,10,81
422,"Cluster 1",16,1,12,23.43,13,82
423,"Cluster 1",3,2,14,19.75,12,85
424,"Cluster 2",28,1,3,55.36,25,51
425,"Cluster 3",53,2,6,77.08,33,41
426,"Cluster 1",11,3,15,26.29,13,77
427,"Cluster 2",24,2,6,45.15,20,69
428,"Cluster 2",30,1,7,51.69,22,59
429,"Cluster 2",21,2,6,46.54,20,66
430,"Cluster 3",48,2,1,74.14,32,43
431,"Cluster 3",52,3,6,68.55,29,47
432,"Cluster 1",10,1,16,20.46,12,84
433,"Cluster 2",27,2,10,42.99,20,57
434,"Cluster 3",50,2,5,77.68,33,28
435,"Cluster 2",25,2,6,37.8,17,66
436,"Cluster 1",13,2,14,15.01,7,92
437,"Cluster 2",23,2,7,40.04,20,73
438,"Cluster 1",3,2,12,16.83,11,87
439,"Cluster 2",30,2,7,54.81,26,53
440,"Cluster 2",27,2,8,29.63,14,73
441,"Cluster 2",19,2,5,43.77,18,61
442,"Cluster 1",10,2,14,22.77,11,79
443,"Cluster 1",8,2,13,11.04,6,90
444,"Cluster 2",26,3,9,52.75,26,55
445,"Cluster 3",54,1,1,78.56,31,31
446,"Cluster 1",13,2,15,16.76,7,82
447,"Cluster 3",55,2,4,80.95,33,39
448,"Cluster 2",27,2,10,54.62,26,55
449,"Cluster 2",24,3,8,42.82,20,54
450,"Cluster 1",8,3,12,19.2,11,83
451,"Cluster 1",7,4,17,14.65,7,88
452,"Cluster 2",25,1,11,39.31,20,57
453,"Cluster 2",23,2,6,43.6,21,59
454,"Cluster 2",26,1,10,47.01,21,70
455,"Cluster 2",24,1,8,32.08,14,72
456,"Cluster 3",54,2,4,81.57,37,32
457,"Cluster 3",49,2,5,77.82,32,34
458,"Cluster 1",17,3,13,23.11,14,82
459,"Cluster 2",27,2,8,45.31,21,66
460,"Cluster 2",23,2,8,41.07,18,66
461,"Cluster 3",51,4,1,68.39,31,47
462,"Cluster 1",9,2,17,18.32,11,86
463,"Cluster 1",9,2,16,16.99,7,93
464,"Cluster 2",22,2,8,44.19,22,70
465,"Cluster 1",10,2,14,11.69,7,96
466,"Cluster 2",33,1,8,40.96,18,81
467,"Cluster 2",18,2,6,41.92,18,65
468,"Cluster 1",8,4,16,31,15,79
469,"Cluster 2",21,2,9,40.48,17,69
470,"Cluster 3",52,2,3,77.53,33,32
471,"Cluster 2",26,1,8,50.53,22,71
472,"Cluster 3",56,2,4,72.03,31,46
473,"Cluster 1",10,3,13,21.67,9,82
474,"Cluster 3",49,3,3,74.54,33,35
475,"Cluster 1",17,2,15,15.36,8,84
476,"Cluster 1",12,2,16,23.03,11,72
477,"Cluster 1",7,1,16,18.62,9,84
478,"Cluster 2",25,3,8,44.02,22,61
479,"Cluster 2",24,2,5,45.47,19,65
480,"Cluster 1",11,3,14,26.84,11,74
481,"Cluster 2",20,1,10,33.32,16,73
482,"Cluster 3",49,2,5,84.52,34,25
483,"Cluster 2",28,1,7,48.36,21,51
484,"Cluster 1",8,2,15,22.61,10,87
485,"Cluster 3",53,1,3,69.36,32,49
486,"Cluster 2",23,2,9,39.73,16,63
487,"Cluster 2",27,2,6,34.78,18,71
488,"Cluster 1",5,2,13,23.06,13,81
489,"Cluster 1",12,4,15,19.6,11,86
490,"Cluster 3",52,3,4,77.85,36,37
491,"Cluster 3",51,3,2,86.82,38,28
492,"Cluster 2",30,3,6,41,17,72
493,"Cluster 1",12,4,15,21.64,13,76
494,"Cluster 1",7,2,17,12.33,7,89
495,"Cluster 2",30,2,12,41.53,17,73
496,"Cluster 3",51,3,3,72.67,33,50
497,"Cluster 2",20,2,13,65.53,31,47
498,"Cluster 2",23,2,9,44.44,21,65
499,"Cluster 1",14,2,14,6.78,3,91
500,"Cluster 3",53,3,2,72.33,33,46
501,"Cluster 2",25,2,5,43.03,21,79
502,"Cluster 2",25,1,8,50.48,22,59
503,"Cluster 2",29,3,5,41.98,20,65
504,"Cluster 2",29,1,11,45.75,19,62
505,"Cluster 2",27,2,11,42.24,18,56
506,"Cluster 2",24,2,4,35.21,16,75
507,"Cluster 1",8,2,14,12.03,6,94
508,"Cluster 1",12,3,14,10.43,4,91
509,"Cluster 3",50,3,4,77.5,33,42
510,"Cluster 2",21,2,9,42.83,18,55
511,"Cluster 1",8,2,15,26.09,14,80
512,"Cluster 2",25,2,12,49.03,22,58
513,"Cluster 3",50,2,3,62.18,26,61
514,"Cluster 2",16,1,10,53.93,25,58
515,"Cluster 1",8,1,13,26.63,11,81
516,"Cluster 2",28,1,7,41.42,18,68
517,"Cluster 1",14,3,15,22.91,10,79
518,"Cluster 3",53,2,4,68.86,29,46
519,"Cluster 2",20,2,4,43.61,20,61
520,"Cluster 3",52,3,1,71.51,31,51
521,"Cluster 2",28,2,11,36.05,18,71
522,"Cluster 2",27,2,8,43.72,21,67
523,"Cluster 2",26,1,8,34.64,19,75
524,"Cluster 2",24,2,5,40.78,18,67
525,"Cluster 1",8,2,16,23.57,12,83
526,"Cluster 1",12,2,15,18.43,8,84
527,"Cluster 3",47,2,1,77.55,31,33
528,"Cluster 2",22,2,7,42.79,19,65
529,"Cluster 3",45,2,4,75.67,32,32
530,"Cluster 2",32,2,8,46.44,21,65
531,"Cluster 3",50,2,2,71.72,31,41
532,"Cluster 1",8,2,15,26.44,13,82
533,"Cluster 1",11,2,16,19.17,11,84
534,"Cluster 3",47,2,2,67.9,32,41
535,"Cluster 2",24,3,7,34.02,16,67
536,"Cluster 1",6,3,16,18.68,11,98
537,"Cluster 2",27,2,12,49.03,21,60
538,"Cluster 3",51,4,1,66.48,29,44
539,"Cluster 1",9,1,15,14.04,10,88
540,"Cluster 2",25,2,8,50.71,25,59
541,"Cluster 3",47,3,1,75.61,31,27
542,"Cluster 2",26,2,12,42.07,17,69
543,"Cluster 3",51,4,4,76.49,35,43
544,"Cluster 2",26,1,9,55.74,24,62
545,"Cluster 3",50,2,2,79.35,36,37
546,"Cluster 3",48,2,2,87.21,40,37
547,"Cluster 2",25,2,7,52.01,24,57
548,"Cluster 3",47,3,2,73.18,33,40
549,"Cluster 3",50,2,3,70.03,32,29
550,"Cluster 2",31,2,9,49.54,22,64
551,"Cluster 2",27,3,10,44.53,21,64
552,"Cluster 2",31,2,10,50.93,24,59
553,"Cluster 1",7,2,16,22.44,13,79
554,"Cluster 3",49,2,1,86.91,39,23
555,"Cluster 1",6,2,14,18.28,10,82
556,"Cluster 1",9,2,14,26.8,11,73
557,"Cluster 1",4,2,14,9.74,7,86
558,"Cluster 1",16,1,20,30.51,16,75
559,"Cluster 1",7,3,14,13.4,8,93
560,"Cluster 2",28,1,5,43.88,18,64
561,"Cluster 2",24,2,10,58.11,28,44
562,"Cluster 3",49,1,4,80.94,37,40
563,"Cluster 3",49,1,2,72.93,30,40
564,"Cluster 2",27,2,5,37.63,20,74
565,"Cluster 1",9,1,9,16.54,11,82
566,"Cluster 1",11,1,14,28.56,16,76
567,"Cluster 2",26,3,9,38.07,16,79
568,"Cluster 3",46,1,2,78.2,35,37
569,"Cluster 1",9,1,16,24.09,13,83
570,"Cluster 3",51,3,3,76.67,33,42
571,"Cluster 1",12,2,16,26.64,15,73
572,"Cluster 3",49,2,2,69.78,31,43
573,"Cluster 1",7,2,16,16.27,11,85
574,"Cluster 1",13,3,16,10.15,7,90
575,"Cluster 3",51,1,3,71.65,30,38
576,"Cluster 1",8,1,16,23.19,10,88
577,"Cluster 1",12,2,15,13.53,8,89
